[2022-03-31 09:46:40] open
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.depth.step0","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.kline.1min","ts":1648691201046}
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.kline.5min","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.kline.15min","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.kline.30min","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.kline.60min","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.kline.4hour","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.kline.1day","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.kline.1week","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.trade.detail","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"dashusdt","status":"ok","subbed":"market.dashusdt.detail","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.depth.step0","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.kline.1min","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.kline.5min","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.kline.15min","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.kline.30min","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.kline.60min","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.kline.4hour","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.kline.1day","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.kline.1week","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.trade.detail","ts":1648691201047}
[2022-03-31 09:46:41] {"id":"maskusdt","status":"ok","subbed":"market.maskusdt.detail","ts":1648691201047}
[2022-03-31 16:59:51] close
[2022-03-31 16:59:55] open
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.depth.step0","ts":1648717195234}
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.1min","ts":1648717195245}
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.5min","ts":1648717195245}
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.15min","ts":1648717195245}
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.30min","ts":1648717195245}
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.60min","ts":1648717195245}
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.4hour","ts":1648717195245}
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.1day","ts":1648717195245}
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.kline.1week","ts":1648717195245}
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.trade.detail","ts":1648717195245}
[2022-03-31 16:59:55] {"id":"btcusdt","status":"ok","subbed":"market.btcusdt.detail","ts":1648717195245}
